Nome,Custo_Producao_R$/ha,Produtividade_t/ha,Ciclo_dias,Requisito_Agua_mm,Retorno_Financeiro_R$/ha,Lucro_R$/ha,Epoca_Plantio,Regiao_Adaptada,Compatibilidade_Positiva,Compatibilidade_Negativa,Tipo_Cultura,pH_Solo_Min,pH_Solo_Max,Temperatura_Min_C,Temperatura_Max_C,Espaco_Minimo_m2_por_Planta_ou_Area_minima_por_hectare
Abacate,11000,20.0,730,1100,35000,24000,Ago-Nov,SE;S,Culturas_de_cobertura,Citros,Frutifera,5.0,6.5,20,30,36.0
Inhame,7000,20.0,240,600,21000,14000,Set-Nov,N;NE;SE,Mandioca,Batata,Tuberculo,5.0,6.5,20,30,0.50
Gengibre,9000,15.0,270,700,27000,18000,Set-Nov,SE;S,Culturas_de_cobertura,Milho,Especiaria,5.5,6.5,20,30,0.25
Pimenta_(outras_variedades),6000,10.0,120,400,18000,12000,Ano_Todo,Todas,Tomate;Cenoura,Batata,Olericola,5.5,7.0,20,30,0.20
Brócolis,7000,15.0,90,350,21000,14000,Ano_Todo,Todas,Alface;Cenoura,Couve,Olericola,6.0,7.0,15,25,0.30
Couve-flor,7500,12.0,100,400,22500,15000,Ano_Todo,Todas,Alface;Cenoura,Brócolis,Olericola,6.0,7.0,15,25,0.30
Espinafre,4000,8.0,40,200,12000,8000,Ano_Todo,Todas,Rabanete;Alface,Cebola,Olericola,6.0,7.5,15,25,0.05
Couve,5000,10.0,60,250,15000,10000,Ano_Todo,Todas,Cenoura;Alface,Brócolis;Couve-flor,Olericola,6.0,7.0,15,25,0.20
Rabanete,3000,5.0,30,150,9000,6000,Ano_Todo,Todas,Alface;Cenoura,Cebola,Olericola,6.0,7.0,15,25,0.01
Grão_de_bico,3500,1.8,100,400,10800,7300,Fev-Abr,CO;SE,Milho;Sorgo,Feijão,Leguminosa,6.0,7.5,18,28,0.05
Lentilha,3200,1.5,90,350,9600,6400,Mar-Mai,S;SE,Trigo;Aveia,Feijão,Leguminosa,6.0,7.0,15,25,0.03
Amendoim,4000,2.0,120,500,12000,8000,Set-Nov,CO;SP,Milho;Soja,Feijão,Oleaginosa,5.8,7.0,20,30,0.10
Gergelim,3000,1.0,90,300,9000,6000,Fev-Abr,NE;CO,Milho;Sorgo,Feijão,Oleaginosa,5.5,7.5,22,35,0.10
Linhaça,2800,1.2,100,350,8400,5600,Mar-Mai,S;SE,Trigo;Aveia,Soja,Oleaginosa,6.0,7.0,15,28,0.05
Pinus,7000,40.0,5475,800,32000,25000,Set-Mar,S;SE,Eucalipto,Culturas_Anuais,Florestal,5.0,6.5,10,30,9.0
Acácia,6000,30.0,3650,700,24000,18000,Set-Mar,NE;SE,Eucalipto,Culturas_Anuais,Florestal,4.5,6.0,18,35,9.0
Pitaya,15000,10.0,730,1000,45000,30000,Set-Nov,NE;SE,Culturas_de_cobertura,Nenhuma,Frutifera,6.0,7.0,20,35,9.0
Caju_Anão,10000,3.0,365,800,30000,20000,Mai-Ago,NE,Culturas_de_cobertura,Manga,Frutifera,5.0,6.5,25,35,25.0
Graviola,12000,8.0,1095,1500,36000,24000,Set-Nov,N;NE,Cacau,Nenhuma,Frutifera,5.5,7.0,22,32,25.0
Jatobá,8000,1.5,7300,1500,24000,16000,Set-Mar,N;CO,Culturas_Nativas,Exoticas_Competitivas,Florestal,5.0,6.5,20,30,100.0
Pecan,18000,2.0,3650,1000,60000,42000,Jul-Set,S,Culturas_de_cobertura,Nenhuma,Oleaginosa_Perene,6.0,7.5,10,25,100.0
Couve_Chinesa,4500,10.0,50,250,13500,9000,Ano_Todo,Todas,Alface;Rabanete,Brócolis;Couve-flor,Olericola,6.0,7.0,15,25,0.10
Rúcula,3500,6.0,30,150,10500,7000,Ano_Todo,Todas,Alface;Cenoura,Nenhuma,Olericola,6.0,7.0,15,25,0.03
Salsa,4000,5.0,60,200,12000,8000,Ano_Todo,Todas,Cebolinha;Coentro,Nenhuma,Olericola,6.0,7.0,15,25,0.05
Cebolinha,4000,4.0,60,200,12000,8000,Ano_Todo,Todas,Salsa;Coentro,Nenhuma,Olericola,6.0,7.0,15,25,0.05
Coentro,3800,3.0,40,180,11400,7600,Ano_Todo,Todas,Salsa;Cebolinha,Nenhuma,Olericola,6.0,7.0,20,30,0.03
