CULTURA,CUSTO PRODUÇÃO,PRODUTIVIDADE,CICLO DE VIDA MIN EM DIAS,CICLO DE VIDA MAX EM DIAS,REQUISITO DE ÁGUA,RETORNO FINANCEIRO,SINERGIA,COMPANHEIRA,NEUTRA,ANTAGÔNICA,ESPAÇO MÍNIMO m²
Laranja,3,3,730,730,3,3,Nenhuma,"Café,Feijão","Milho,Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Banana,Cacau,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",8.0
Limão,3,3,730,730,3,3,Nenhuma,"Café,Feijão","Milho,Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Banana,Cacau,Laranja,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",8.0
Uva,3,2.5,365,365,2.5,3,Nenhuma,"Milho,Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",3.0
Maçã,3,3,365,365,2.5,3,Nenhuma,"Trigo,Aveia","Milho,Soja,Feijão,Sorgo,Algodão,Cevada,Café,Banana,Cacau,Laranja,Limão,Uva,Pêssego,Cana_de_Acucar","Eucalipto",10.0
Pêssego,3,2.5,365,365,2.5,3,Nenhuma,"Trigo,Aveia","Milho,Soja,Feijão,Sorgo,Algodão,Cevada,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Cana_de_Acucar","Eucalipto",9.0
Cana_de_Acucar,2,3,365,365,3,3,Nenhuma,"Amendoim","Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Milho,Feijão",0.5
Alho,3,2,150,150,1.5,3,Nenhuma,"Cenoura","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Beterraba,Pimentão","Alface,Tomate",0.05
Cenoura,2.5,3,100,100,1,2.5,"Beterraba,Rabanete,Salsa,Coentro",Alface,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Pimentão,Tomate","Cebola,Alho",0.02
Beterraba,2.5,3,90,90,1,2,Nenhuma,"Cenoura,Alface","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Pimentão,Tomate","Cebola,Alho",0.02
Pimentão,3,3,120,120,2,3,"Berinjela,Pimenta_(outras_variedades)",Tomate,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cenoura,Beterraba,Alface","Batata,Cebola",0.5
Abacaxi,3,3,540,540,3,3,"Mamão,Maracujá,Caju,Caju_Anão",Coco,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cenoura,Beterraba,Pimentão,Tomate,Alface","Banana",1.0
Coco,3,2,1825,1825,3,3,"Açaí,Pupunha","Caju","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cenoura,Beterraba,Pimentão,Tomate,Alface","Eucalipto",20.0
Mamão,3,3,365,365,3,3,Nenhuma,"Maracujá,Abacaxi","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Uva,Maçã,Pêssego,Cana_de_Acucar","Citrinos",4.0
Maracujá,3,3,365,365,3,3,Nenhuma,"Mamão,Abacaxi","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Uva,Maçã,Pêssego,Cana_de_Acucar","Citrinos",4.0
Girassol,2,1.5,100,100,2,1.5,"Gergelim",Soja,"Sorgo,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Feijão,Algodão",0.1
Arroz,2.5,2,130,130,2.5,2.5,Nenhuma,"Feijão,Mandioca","Milho,Soja,Sorgo,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego","Algodão,Cana_de_Acucar",0.1
Batata,3,3,110,110,1.5,3,"Batata_Doce","Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cenoura,Beterraba,Alface","Tomate,Pimentão",0.5
Cebola,3,3,150,150,1.5,3,"Cebolinha",Cenoura,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Batata","Alface,Tomate",0.05
Tomate,3,3,100,100,2,3,"Pimenta_(outras_variedades)","Pimentão,Berinjela","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alface","Batata,Cebola",0.5
Alface,3,3,45,45,1,3,"Espinafre,Couve,Couve_Chinesa,Rúcula","Cenoura,Rabanete","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Batata,Pimentão,Tomate,Berinjela","Cebola,Alho",0.04
Seringueira,3,1.5,2920,2920,3,3,"Jatobá,Pinhão",Nenhuma,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Eucalipto,Banana,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Café",16.0
Pimenta_do_Reino,3,1.5,1095,1095,3,3,Nenhuma,"Café,Cacau","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Eucalipto,Banana,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Tomate",9.0
Goiaba,3,3,365,365,2.5,3,Nenhuma,"Café,Banana","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",8.0
Araticum,2.5,2.5,730,730,2.5,3,Nenhuma,"Mandioca,Feijão","Milho,Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",9.0
Açaí,3,2.5,1095,1095,3,3,Nenhuma,"Pupunha,Coco","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Banana",16.0
Pupunha,3,2.5,730,730,3,3,Nenhuma,"Açaí,Coco","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Uva,Maçã,Pêssego,Cana_de_Acucar","Citrinos",9.0
Guaraná,3,1.5,1095,1095,3,3,Nenhuma,"Mandioca,Feijão","Milho,Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",9.0
Caju,2.5,1.5,730,730,2.5,3,"Manga","Abacaxi,Coco","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Banana",9.0
Manga,3,3,730,730,3,3,"Abacate",Caju,"Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",12.0
Abacate,3,2.5,730,730,2.5,3,Nenhuma,"Manga,Café","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",12.0
Inhame,2.5,2.5,240,240,2,2.5,Nenhuma,"Feijão,Milho","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Mandioca",0.5
Gengibre,2.5,2.5,270,270,2,3,Nenhuma,"Crotalária,Café","Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Milho",0.25
Pimenta_(outras_variedades),2,2.5,120,120,1.5,2.5,Tomate,"Tomate,Pimentão","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cenoura,Beterraba,Alface","Batata,Cebola",0.1
Brócolis,2.5,2.5,90,90,1,2.5,Couve-flor,"Couve-flor,Alface","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.2
Couve-flor,2.5,2.5,100,100,1,2.5,Brócolis,"Brócolis,Alface","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.2
Espinafre,1.5,2,40,40,1,1.5,Alface,"Alface,Rabanete","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.03
Couve,2,2,60,60,1,2,Alface,"Alface,Brócolis","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.05
Rabanete,1.5,1.5,30,30,1,1.5,Cenoura,"Cenoura,Alface","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.02
Grão_de_Bico,1.5,1,100,100,1.5,2,Trigo,"Trigo,Cevada","Milho,Sorgo,Algodão,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Soja,Feijão",0.07
Lentilha,1.5,1,90,90,1.5,1.5,Trigo,"Trigo,Aveia","Milho,Sorgo,Algodão,Cevada,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Soja,Feijão",0.05
Amendoim,2,1.5,120,120,2,2.5,Milho,"Milho,Soja","Sorgo,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Feijão,Algodão",0.1
Gergelim,1.5,1,90,90,1,2,Milho,"Milho,Sorgo","Soja,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Feijão",0.1
Linhaça,1.5,1,100,100,1.5,1.5,Trigo,"Trigo,Aveia","Milho,Feijão,Sorgo,Algodão,Cevada,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Soja",0.05
Pinus,2.5,3,5475,5475,2.5,3,Eucalipto,"Eucalipto","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Culturas_Anuais",16.0
Acácia,2.5,3,3650,3650,2.5,2.5,Eucalipto,"Eucalipto","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Culturas_Anuais",16.0
Pitaya,3,2,730,730,2.5,3,Culturas_de_cobertura,"Culturas_de_cobertura","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Nenhuma",9.0
Caju_Anão,2.5,1.5,365,365,2.5,3,Abacaxi,"Abacaxi,Coco","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Banana",4.0
Graviola,3,2,1095,1095,3,3,Café,"Café,Cacau","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Eucalipto,Banana,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Tomate",9.0
Jatobá,2.5,1.5,7300,7300,3,2.5,Seringueira,"Seringueira,Cacau","Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Milho",16.0
Pecan,3,1.5,3650,3650,2.5,3,Trigo,"Trigo,Aveia","Milho,Soja,Feijão,Sorgo,Algodão,Cevada,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",12.0
Couve_Chinesa,2,2,50,50,1,2,Alface,"Alface,Brócolis","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.05
Rúcula,1.5,1.5,30,30,1,1.5,Alface,"Alface,Rabanete","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Tomate,Pimentão,Batata","Cebola,Alho",0.02
Salsa,1.5,1.5,60,60,1,1.5,Cebolinha,"Cebolinha,Coentro","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cebola,Alface,Tomate,Pimentão,Batata","Nenhuma",0.03
Cebolinha,1.5,1.5,60,60,1,1.5,Salsa,"Salsa,Coentro","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cebola,Alface,Tomate,Pimentão,Batata","Nenhuma",0.03
Coentro,1.5,1.5,40,40,1,1.5,Salsa,"Salsa,Cebolinha","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cebola,Alface,Tomate,Pimentão,Batata","Nenhuma",0.03
Batata_Doce,1.5,2.5,150,150,2,2.5,Milho,"Milho,Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Mandioca",0.5
Berinjela,2.5,3,150,150,2,3,Pimentão,"Pimentão,Tomate","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar,Alho,Cenoura,Beterraba,Alface,Cebola","Batata,Pimenta",0.5
Quiabo,2,2.5,90,90,1.5,2.5,Feijão,"Feijão,Milho","Soja,Sorgo,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Algodão",0.2
Melancia,2.5,3,90,90,2,3,Milho,"Milho,Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Abobora",4.0
Melão,2,3,80,80,2,2.5,Milho,"Milho,Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Abobora",2.0
Pepino,2,2.5,60,60,1,2,Milho,"Milho,Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Abobora,Melancia",0.5
Abóbora,2,2.5,120,120,2,2.5,Milho,"Milho,Feijão","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Melancia,Pepino",4.0
Centeio,1,1.5,150,150,1.5,1,Trigo,"Trigo,Aveia","Soja,Feijão,Sorgo,Algodão,Cevada,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Milho",0.05
Dendê,3,2,2190,2190,3,3,Cacau,"Cacau,Seringueira","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",20.0
Pinhão,2.5,1.5,3650,3650,3,3,Jatobá,"Jatobá,Seringueira","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Pinus",12.0
Erva_Mate,3,1.5,730,730,2.5,3,Jatobá,"Jatobá,Pinus","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Eucalipto",9.0
Girassol_de_cobertura,1,1,90,90,1.5,1,Crotalária,"Crotalária,Milho","Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Nenhuma",0.15
Crotalária,1,1,120,120,1,1,Milho,"Milho,Soja","Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Nenhuma",0.07
Capim_Mombaça,1,2.5,180,180,2.5,2,Nenhuma,"Nenhuma","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Nenhuma",1.5
Capim_Brachiaria,1,2.5,150,150,2,1.5,Nenhuma,"Nenhuma","Milho,Soja,Feijão,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Nenhuma",1.5
Mandioca_forrageira,1,3,365,365,2.5,2,Feijão,"Feijão,Milho","Soja,Sorgo,Algodão,Trigo,Cevada,Aveia,Café,Eucalipto,Banana,Cacau,Laranja,Limão,Uva,Maçã,Pêssego,Cana_de_Acucar","Mandioca",1.0
